DATE,BTCUSDT_START_PRICE,BTCUSDT_END_PRICE,BTCUSDT_COINS_BOUGHT,BTCUSDT_COINS_SOLD,BTCUSDT_NET_FLOW,BTCUSDT_TOTAL_AGGRT_TRANSACTIONS
2024-01-25 10:52:59,39831.09,39830.0,37.481,31.404,241727.343,3000
2024-01-25 10:47:59,39905.31,39831.09,38.822,77.557,-1542765.489,3000
2024-01-25 10:42:59,39898.05,39905.31,45.776,23.113,904903.586,2794
2024-01-25 10:37:59,39914.48,39898.05,46.301,30.941,613436.867,3000
2024-01-25 10:32:59,39851.09,39914.48,56.793,56.391,15882.827,2787
2024-01-25 10:27:59,39854.09,39851.09,30.607,26.478,164411.572,2632
2024-01-25 10:22:59,39846.1,39854.09,50.69,65.47,-589653.995,2827
2024-01-25 10:17:59,39868.89,39846.1,53.171,55.749,-103436.347,3000
2024-01-25 10:12:59,39872.01,39868.89,40.909,43.365,-98167.869,2798
2024-01-25 10:07:59,39838.31,39872.01,72.082,62.175,395445.107,3000
2024-01-25 10:02:59,39873.83,39838.31,41.764,53.217,-456606.765,2901
2024-01-25 09:57:59,39857.3,39873.83,50.514,33.9,662675.64,3000
2024-01-25 09:52:59,39888.98,39857.3,18.724,17.957,30612.214,3000
2024-01-25 09:47:59,39911.99,39888.98,42.018,71.763,-1186759.282,3000
2024-01-25 09:42:59,39866.6,39911.99,65.512,45.714,789440.275,3000
2024-01-25 09:37:59,39919.98,39866.6,62.817,65.623,-112165.165,3000
2024-01-25 09:32:59,40027.26,39919.98,29.497,38.475,-359134.288,3000
2024-01-25 09:27:59,40078.86,40027.26,41.497,103.941,-2499377.464,2823
2024-01-25 09:22:59,40094.0,40078.86,55.419,46.718,348598.771,2727
2024-01-25 09:17:59,40180.87,40094.0,33.131,41.722,-344643.247,2551
2024-01-25 09:12:59,40237.47,40180.87,37.447,53.849,-660091.105,2779
2024-01-25 09:07:59,40197.9,40237.47,36.226,32.461,152223.841,3000
2024-01-25 09:02:59,40169.95,40197.9,35.611,38.008,-96468.875,2629
2024-01-25 08:57:59,40177.91,40169.95,38.599,39.655,-42541.823,2377
2024-01-25 08:52:59,40222.01,40177.91,35.173,56.813,-869830.45,2819
2024-01-25 08:47:59,40232.7,40222.01,56.321,43.925,498299.139,2622
2024-01-25 08:42:59,40229.99,40232.7,45.371,39.722,227195.39,2487
2024-01-25 08:37:59,40270.3,40229.99,37.278,53.818,-666130.138,3000
2024-01-25 08:32:59,40214.03,40270.3,78.579,28.539,2014316.982,2980
2024-01-25 08:27:59,40222.6,40214.03,48.486,29.831,750681.948,2843
2024-01-25 08:22:59,40176.87,40222.6,82.759,41.705,1650071.983,2949
2024-01-25 08:17:59,40169.99,40176.87,138.452,46.478,3697132.908,3000
2024-01-25 08:12:59,40108.86,40169.99,76.953,50.274,1070268.213,3000
2024-01-25 08:07:59,40109.02,40108.86,51.806,70.109,-734273.05,2363
2024-01-25 08:02:59,40111.92,40109.02,50.921,25.257,1029590.991,2371
2024-01-25 07:57:59,40083.35,40111.92,20.467,22.217,-70197.738,2335
2024-01-25 07:52:59,40072.52,40083.35,43.828,26.74,684808.399,2451
2024-01-25 07:47:59,40059.34,40072.52,22.837,25.586,-110168.338,2399
2024-01-25 07:42:59,40035.81,40059.34,30.575,21.915,346824.474,2205
2024-01-25 07:37:59,40016.82,40035.81,22.629,27.856,-209383.398,2180
2024-01-25 07:32:59,40010.12,40016.82,61.471,22.786,1548225.931,2326
2024-01-25 07:27:59,40008.0,40010.12,27.713,60.442,-1308986.727,2601
2024-01-25 07:22:59,39990.01,40008.0,53.169,112.296,-2363868.057,3000
2024-01-25 07:17:59,40047.2,39990.01,29.734,109.303,-3183523.598,2944
2024-01-25 07:12:59,39987.99,40047.2,55.938,49.714,248939.481,2966
2024-01-25 07:07:59,40057.19,39987.99,13.795,69.88,-2243255.745,3000
2024-01-25 07:02:59,40038.87,40057.19,37.095,43.184,-243819.132,3000
2024-01-25 06:57:59,40094.91,40038.87,33.278,53.9,-826818.146,2282
2024-01-25 06:52:59,40066.52,40094.91,22.337,17.168,207154.428,2116
2024-01-25 06:47:59,40074.1,40066.52,23.069,30.394,-293596.42,1916
2024-01-25 06:42:59,40106.72,40074.1,42.853,61.221,-736197.888,2558
2024-01-25 06:37:59,40098.0,40106.72,25.738,20.769,199167.929,1837
2024-01-25 06:32:59,40075.91,40098.0,33.006,20.06,518884.724,2224
2024-01-25 06:27:59,40119.11,40075.91,22.31,50.079,-1113471.365,2172
2024-01-25 06:22:59,40063.99,40119.11,22.407,12.953,378851.703,2465
2024-01-25 06:17:59,40120.13,40063.99,19.183,33.939,-591790.254,2290
2024-01-25 06:12:59,40099.49,40120.13,44.626,23.92,830551.657,2250
2024-01-25 06:07:59,40067.51,40099.49,36.245,30.496,230595.289,2415
2024-01-25 06:02:59,40082.19,40067.51,13.086,32.425,-775196.825,2134
2024-01-25 05:57:59,40090.68,40082.19,11.887,21.944,-403279.38,1378
