DATE,BTCUSDT_START_PRICE,BTCUSDT_END_PRICE,BTCUSDT_COINS_BOUGHT,BTCUSDT_COINS_SOLD,BTCUSDT_NET_FLOW,BTCUSDT_TOTAL_AGGRT_TRANSACTIONS
2024-01-24 18:42:09,39676.03,39717.17,48.845,35.607,525216.268,2573
2024-01-24 18:37:09,39746.01,39676.98,29.711,32.395,-106813.332,3707
2024-01-24 18:32:09,39676.0,39738.0,53.577,24.91,1138494.645,3741
2024-01-24 18:27:09,39658.78,39676.43,39.948,64.042,-956357.63,2611
2024-01-24 18:22:09,39670.17,39678.13,82.461,63.541,749623.535,3657
2024-01-24 18:17:09,39627.55,39651.1,37.059,26.449,420869.391,3555
2024-01-24 18:12:09,39649.39,39643.92,64.768,45.712,755696.696,3721
2024-01-24 18:07:09,39590.38,39664.28,54.059,64.399,-410252.29,4000
2024-01-24 18:02:09,39567.99,39627.99,57.814,49.532,328737.951,4000
2024-01-24 17:57:09,39570.01,39530.0,58.041,48.462,379507.643,4000
2024-01-24 17:52:09,39665.99,39667.67,57.508,103.519,-1822864.335,4000
2024-01-24 17:47:09,39732.69,39668.02,38.337,78.914,-1611202.112,3970
2024-01-24 17:42:09,39746.7,39719.99,40.453,46.959,-258355.854,3253
2024-01-24 17:37:09,39835.91,39749.96,39.206,52.677,-535681.911,3943
2024-01-24 17:32:09,39848.36,39801.1,51.187,47.053,164699.569,3244
2024-01-24 17:27:09,39888.53,39831.75,55.7,57.361,-66277.229,3325
2024-01-24 17:22:09,39914.01,39874.0,41.51,35.184,252342.662,3713
2024-01-24 17:17:09,39967.99,39906.95,60.987,46.304,585977.599,4000
2024-01-24 17:12:09,39887.51,39966.23,68.115,39.531,1140671.939,4000
2024-01-24 17:07:09,39825.05,39901.11,106.897,58.29,1938145.647,4000
2024-01-24 17:02:09,39753.58,39846.12,107.196,42.336,2581422.264,3664
2024-01-24 16:57:09,39713.36,39784.0,48.84,30.179,741620.517,2951
2024-01-24 16:52:09,39688.77,39694.31,54.394,59.375,-197169.419,3688
2024-01-24 16:47:09,39731.1,39663.84,38.333,57.578,-763972.813,3431
2024-01-24 16:42:09,39749.11,39695.71,17.223,39.061,-867349.474,2644
2024-01-24 16:37:09,39774.0,39742.0,22.965,38.13,-602843.471,2998
2024-01-24 16:32:09,39746.3,39778.54,30.175,28.517,65970.991,2832
2024-01-24 16:27:09,39813.81,39747.57,33.098,39.788,-266263.947,3679
2024-01-24 16:22:09,39833.99,39806.64,27.739,41.578,-550870.241,3249
2024-01-24 16:17:09,39791.09,39801.11,31.629,27.23,174989.687,2822
2024-01-24 16:12:09,39821.0,39830.73,42.81,42.251,22189.834,3189
2024-01-24 16:07:09,39789.99,39826.0,59.084,26.332,1303659.398,3809
2024-01-24 16:02:09,39768.36,39760.0,36.774,43.701,-275326.994,3023
2024-01-24 15:57:09,39788.85,39758.7,32.908,40.924,-318917.835,2879
2024-01-24 15:52:09,39805.27,39797.99,55.801,51.474,171853.218,3652
2024-01-24 15:47:09,39840.59,39787.19,53.638,47.926,227608.455,3644
2024-01-24 15:42:09,39834.01,39861.16,64.295,37.315,1074510.823,3969
2024-01-24 15:37:09,39772.8,39848.18,59.795,39.205,819982.195,4000
2024-01-24 15:32:09,39719.99,39836.5,67.353,48.644,743902.005,4000
2024-01-24 15:27:09,39827.44,39752.0,69.375,86.006,-662318.29,4000
2024-01-24 15:22:09,39901.43,39711.09,59.126,67.884,-348826.467,4000
2024-01-24 15:17:09,39981.11,39921.1,55.158,79.14,-958015.948,3988
2024-01-24 15:12:09,40103.82,39966.73,33.241,71.033,-1512208.747,3562
2024-01-24 15:07:09,40138.01,40086.01,51.077,36.371,589638.149,2878
2024-01-24 15:02:09,40087.99,40120.06,58.39,51.17,289143.748,3556
2024-01-24 14:57:09,40075.67,40080.42,50.874,39.979,436815.573,3219
2024-01-24 14:52:09,40152.0,40149.51,43.672,44.494,-33287.804,3248
2024-01-24 14:47:09,40177.19,40136.63,32.029,31.582,18001.824,3653
